d,cpu_time_us,package_energy,core_energy
5,2522,1077962,3479
5,2293,1149172,2762
5,2151,1114643,4624
5,2398,1172593,8087
5,2907,1208128,10680
5,2480,1216612,16493
5,2056,1476486,43867
5,2280,1435625,24550
5,2153,1126345,2060
5,2499,1387791,31020
5,2801,1239849,3036
5,2874,991694,2426
5,2665,1120364,5203
5,2051,1047584,2411
5,2096,1104679,4669
5,2094,1086766,1541
6,1642,1006860,1815
6,2326,1166031,962
6,1825,1180908,12725
6,2331,1083120,2395
6,2196,1386494,32591
6,1907,1518308,44401
6,2349,1050071,6332
6,2070,1442049,34926
6,1277,1181274,13382
6,1233,1459626,38740
6,1163,2046769,50047
6,955,1980900,60727
6,1252,1994450,57568
6,1089,1764603,35704
6,1133,2745677,285431
6,1634,1960164,82714
6,1522,1909737,41639
6,1114,1737520,27846
6,1280,2081405,79067
6,1248,1718325,34544
6,1243,1105107,8255
6,1505,1346015,44096
6,1141,2474542,128792
6,1550,1446886,28746
6,1386,1538907,36482
6,1518,1351859,20842
6,1487,2057679,73574
6,1550,1258937,23848
6,1359,2349991,121881
6,1228,1747224,53708
7,1059,1787826,50947
7,1051,1845211,137154
7,1304,1584467,27128
7,961,1018014,2472
7,1260,1620232,43928
7,878,1770706,72246
7,1181,2081100,102854
7,1362,1506682,33766
7,1253,1518628,31981
7,817,1566523,43775
7,1208,1736788,45240
7,1408,962657,625
7,2249,959301,519
7,2386,926954,793
7,2175,1066687,25893
7,1145,1337196,15288
7,1049,1208266,12054
7,1230,1660619,53357
7,1201,2837789,137673
7,1131,1151872,6088
7,2074,935437,321
7,2294,1299631,23650
7,986,1320747,21101
7,1158,1279703,18553
7,1439,1265529,18309
7,1446,987055,1282
7,1773,1095571,6652
7,2097,1398976,33110
7,1030,1370443,20430
7,1308,1335197,21071
8,692,915816,1618
8,1118,1268505,9628
8,828,927778,900
8,1096,1010767,4196
8,946,1149278,24032
8,683,1480820,37306
8,1241,1192809,14190
8,745,1210524,14907
8,855,1138872,9246
8,640,1215529,14693
8,722,1245755,15640
8,985,1176377,10635
8,681,1095571,11596
8,1098,917540,1557
8,1149,908751,335
8,1119,884796,77
8,1099,867402,306
8,1162,953518,2548
8,879,1395299,21391
8,808,1430026,25191
8,754,1277522,11230
8,813,1566112,32454
8,1066,1454545,30883
8,749,1413669,14984
8,723,3569700,352109
8,775,1508360,66097
8,871,1052313,8819
8,814,1495330,22765
8,714,1247951,16433
8,599,1133594,6408
9,661,1790572,47864
9,697,1516859,32423
9,798,3586317,232364
9,806,1576945,83583
9,820,1280985,18599
9,725,1573665,55295
9,823,1446886,30410
9,933,911086,1007
9,826,1266078,19240
9,917,1132784,5783
9,659,1470582,58667
9,971,1803725,43088
9,676,1365179,31615
9,792,1409367,28807
9,843,1232053,12481
9,680,1002222,4974
9,907,2257147,192907
9,940,1456559,27647
9,891,1089299,8575
9,658,1112431,8941
9,627,1161668,10451
9,724,1166093,11627
9,626,1169343,11062
9,734,1160463,12390
9,868,1267619,25725
9,933,1720111,61368
9,926,1748994,67837
9,1078,1647619,40952
9,756,2214866,269593
9,989,1539197,23009
10,788,1341346,20247
10,796,1078176,4562
10,859,921171,611
10,980,869096,473
10,886,1528531,39076
10,553,1409916,38145
10,622,1267604,16036
10,612,1164704,10986
10,600,1292673,25267
10,551,1169709,12145
10,1005,892425,442
10,916,859742,442
10,890,947751,2807
10,505,1445650,27449
10,594,1187042,11962
10,687,1377020,46872
10,738,1607827,30287
10,767,1253704,14831
10,637,1230802,14007
10,719,958782,1511
10,1033,1384404,22749
10,550,1480377,22261
10,685,942471,1053
10,971,890060,199
10,882,918470,412
10,880,1146837,12618
10,692,973598,4624
10,1076,1631935,43531
10,877,1591272,41456
10,775,1377660,21361
11,861,1320900,27540
11,757,885681,442
11,914,880982,244
11,876,855120,92
11,881,845797,76
11,821,1323525,41166
11,744,1590143,33216
11,848,1049674,6042
11,1015,1237577,10451
11,807,1663748,49313
11,609,1040260,6087
11,1007,1310357,18111
11,878,1216047,12878
11,333,1158067,12100
11,298,1175873,11978
11,316,1182083,11627
11,734,1179901,12527
11,561,1528440,28044
11,647,1363348,20827
11,932,994883,5325
11,804,912780,1190
11,876,860933,183
11,801,861925,199
11,893,1312890,20324
11,1020,950573,214
11,900,878129,30
11,908,937970,946
11,920,1166108,10878
11,624,1097310,8316
11,568,1095311,7888
12,514,1214323,16967
12,623,821964,686
12,768,1005350,7538
12,722,1242916,13976
12,549,1140337,10299
12,545,1664648,54776
12,676,1693363,42051
12,870,1186553,12328
12,391,1140657,11139
12,486,1161363,11504
12,407,1140764,11078
12,355,1153184,11368
12,739,1441652,26854
12,557,1414859,22780
12,648,897064,778
12,866,1549069,32408
12,770,1212874,13656
12,913,1218291,13320
12,799,1273387,16219
12,756,1154115,11932
12,512,1136171,11092
12,715,1300683,14984
12,855,1103383,8194
12,554,1339408,23788
12,555,902648,641
12,663,1516340,29372
12,814,1094609,12969
12,717,857119,275
12,798,879273,320
12,836,916014,92
13,756,827030,290
13,752,1230848,11093
13,610,851930,428
13,730,1250011,19927
13,610,1181686,11550
13,672,1562297,80562
13,487,1053992,7599
13,624,991693,2395
13,729,830965,137
13,773,1359275,20812
13,585,1458665,27708
13,557,1524641,29753
13,780,1063116,4379
13,675,894943,503
13,720,885590,152
13,747,885544,152
13,862,843340,397
13,679,835924,641
13,698,859071,885
13,737,852373,1328
13,833,894470,321
13,715,1273112,16799
13,695,1192520,12862
13,806,1577006,31996
13,737,1666829,37702
13,569,1418567,33599
13,484,1113605,7568
13,764,1310738,20476
13,566,1591531,47773
13,488,1659140,40083
14,690,2456889,266084
14,559,1359564,25603
14,545,1448808,32637
14,668,1378209,22475
14,318,1146242,11337
14,590,1652472,73422
14,486,1504134,30348
14,586,2893558,187444
14,474,1425906,46141
14,597,1222303,15807
14,597,1148470,12024
14,435,3448217,318281
14,623,1422961,39015
14,704,1474289,27510
14,613,3064172,263414
14,549,1528577,39060
14,724,935391,443
14,807,1260143,22917
14,660,1410129,28533
14,610,1450777,24718
14,597,3320766,622038
14,511,1749452,46781
14,614,2559300,195028
14,551,1445985,26396
14,612,1035073,8118
14,552,1453233,28838
14,816,1229672,15502
14,585,1338951,21560
14,800,892547,259
14,714,842761,214
15,737,1154573,19103
15,600,1008554,6454
15,769,1526777,29737
15,511,1143099,10467
15,555,1200607,14083
15,524,1868662,74550
15,598,1201431,19316
15,657,1689671,46064
15,897,1381505,33507
15,532,1609918,39503
15,481,1074346,9780
15,495,1215651,17806
15,429,1203017,12695
15,431,1222898,18523
15,597,880051,1113
15,642,861009,1114
15,624,850374,977
15,571,832598,946
15,694,860170,1037
15,704,904280,824
15,690,886963,275
15,665,868409,1007
15,631,849657,1007
15,582,860857,1618
15,728,1104496,15731
15,538,1139635,14084
15,526,1175888,12924
15,520,1090795,9384
15,696,1131686,2518
15,731,1446642,26259
